,CMA2TP1,CMA2TP2,CMA2TP3,Pr2de,Hybrid,TeamBest,TeamLambda,WXMG3d,LiOMegaPlay,WrthGr3d,Call9996,Ascendant,RNGenius,Fusion2,Fusion1,Team123,Wrth-LTXW2,Wrth-LTXW1,Minmax4,Gr33Dy,WrathMega,Minmax3,MegaWrath,WXPr,CallTG26,LI0N,Dominator,ZOVN,4Team3
CMA2TP1,"[0, 0]","[16964, 13036]","[14188, 15812]","[29981, 0]","[29890, 91]","[1129, 28845]","[4299, 25673]","[21218, 8755]","[5232, 24741]","[29758, 219]","[4307, 25664]","[26738, 3238]","[30000, 0]","[19518, 10456]","[26706, 3267]","[2340, 27627]","[12890, 17079]","[16483, 13487]","[5648, 24323]","[0, 29979]","[20537, 9435]","[5507, 24465]","[17311, 12664]","[24659, 5314]","[102, 29872]","[25487, 4487]","[24141, 5831]","[24935, 5037]","[17210, 12766]"
CMA2TP2,"[13036, 16964]","[0, 0]","[15848, 14152]","[29983, 0]","[29408, 570]","[1121, 28854]","[5781, 24192]","[19497, 10476]","[6535, 23436]","[29928, 54]","[4275, 25698]","[27156, 2819]","[30000, 0]","[18066, 11907]","[26309, 3663]","[2400, 27575]","[12571, 17401]","[15514, 14458]","[5709, 24262]","[0, 29975]","[17799, 12176]","[5232, 24743]","[15388, 14586]","[23718, 6259]","[13, 29961]","[25913, 4061]","[23973, 5996]","[26405, 3569]","[16447, 13525]"
CMA2TP3,"[15812, 14188]","[14152, 15848]","[0, 0]","[29980, 0]","[29914, 66]","[2430, 27543]","[3504, 26473]","[19383, 10590]","[6042, 23927]","[29924, 58]","[4017, 25956]","[25875, 4102]","[30000, 0]","[20344, 9629]","[26341, 3635]","[1157, 28815]","[14733, 15240]","[15759, 14212]","[5028, 24945]","[0, 29981]","[20803, 9175]","[5426, 24542]","[17182, 12790]","[22515, 7454]","[0, 29976]","[25801, 4173]","[24917, 5057]","[26402, 3576]","[16267, 13701]"
Pr2de,"[0, 29981]","[0, 29983]","[0, 29980]","[0, 0]","[14932, 15043]","[16818, 13154]","[15499, 14479]","[14497, 15479]","[16811, 13161]","[20553, 9422]","[12710, 17265]","[20845, 9130]","[30000, 0]","[15682, 14294]","[14531, 15440]","[16667, 13307]","[14212, 15762]","[12468, 17514]","[14237, 15740]","[21411, 8565]","[14980, 14993]","[14731, 15242]","[15002, 14972]","[15039, 14934]","[13139, 16834]","[21457, 8517]","[11331, 18642]","[21554, 8420]","[18040, 11934]"
Hybrid,"[91, 29890]","[570, 29408]","[66, 29914]","[15043, 14932]","[0, 0]","[18146, 11829]","[17265, 12711]","[16296, 13680]","[18437, 11535]","[16680, 13297]","[16996, 12980]","[17943, 12035]","[29190, 792]","[15866, 14113]","[15074, 14898]","[19483, 10495]","[16697, 13277]","[16274, 13698]","[21607, 8368]","[27146, 2832]","[16798, 13176]","[20715, 9263]","[17182, 12793]","[16049, 13923]","[19044, 10929]","[18657, 11317]","[14799, 15179]","[18482, 11493]","[17928, 12045]"
TeamBest,"[28845, 1129]","[28854, 1121]","[27543, 2430]","[13154, 16818]","[11829, 18146]","[0, 0]","[14756, 15219]","[12167, 17808]","[13545, 16435]","[16369, 13608]","[10938, 19037]","[17442, 12533]","[29626, 368]","[10640, 19334]","[11978, 17995]","[14214, 15760]","[13065, 16913]","[12260, 17716]","[22261, 7719]","[23134, 6842]","[13588, 16385]","[21157, 8816]","[11480, 18495]","[11288, 18687]","[12331, 17642]","[17718, 12256]","[11076, 18900]","[17013, 12963]","[14729, 15244]"
TeamLambda,"[25673, 4299]","[24192, 5781]","[26473, 3504]","[14479, 15499]","[12711, 17265]","[15219, 14756]","[0, 0]","[10847, 19128]","[11084, 18888]","[17906, 12069]","[10546, 19433]","[15888, 14088]","[29780, 217]","[11735, 18243]","[12696, 17277]","[14217, 15758]","[11549, 18425]","[11428, 18545]","[19704, 10274]","[20684, 9293]","[12900, 17075]","[19656, 10318]","[11464, 18510]","[11785, 18188]","[9872, 20102]","[17136, 12838]","[8796, 21176]","[15246, 14729]","[14120, 15853]"
WXMG3d,"[8755, 21218]","[10476, 19497]","[10590, 19383]","[15479, 14497]","[13680, 16296]","[17808, 12167]","[19128, 10847]","[0, 0]","[16611, 13369]","[16708, 13269]","[15028, 14946]","[19090, 10885]","[29627, 368]","[15039, 14936]","[14468, 15509]","[18221, 11757]","[16615, 13360]","[16954, 13021]","[20784, 9192]","[26369, 3607]","[14883, 15091]","[20816, 9159]","[15631, 14347]","[14054, 15923]","[17621, 12353]","[18816, 11157]","[13819, 16157]","[18193, 11780]","[18991, 10985]"
LiOMegaPlay,"[24741, 5232]","[23436, 6535]","[23927, 6042]","[13161, 16811]","[11535, 18437]","[16435, 13545]","[18888, 11084]","[13369, 16611]","[0, 0]","[14534, 15441]","[15026, 14953]","[11452, 18525]","[29163, 824]","[11657, 18323]","[11643, 18332]","[17695, 12280]","[15256, 14718]","[13176, 16795]","[22415, 7563]","[25540, 4436]","[14401, 15575]","[20449, 9531]","[12835, 17139]","[12901, 17078]","[21312, 8659]","[12070, 17901]","[11853, 18121]","[11873, 18104]","[17751, 12224]"
WrthGr3d,"[219, 29758]","[54, 29928]","[58, 29924]","[9422, 20553]","[13297, 16680]","[13608, 16369]","[12069, 17906]","[13269, 16708]","[15441, 14534]","[0, 0]","[15305, 14670]","[13858, 16114]","[29691, 299]","[14486, 15491]","[14236, 15738]","[15614, 14363]","[14571, 15406]","[13884, 16090]","[22142, 7831]","[24159, 5816]","[13303, 16673]","[21263, 8711]","[14338, 15636]","[12396, 17578]","[16961, 13014]","[13797, 16175]","[12773, 17203]","[14840, 15134]","[16686, 13290]"
Call9996,"[25664, 4307]","[25698, 4275]","[25956, 4017]","[17265, 12710]","[12980, 16996]","[19037, 10938]","[19433, 10546]","[14946, 15028]","[14953, 15026]","[14670, 15305]","[0, 0]","[14085, 15891]","[18680, 11294]","[15332, 14643]","[12362, 17617]","[18029, 11945]","[15455, 14518]","[17173, 12803]","[29269, 716]","[27336, 2642]","[13131, 16848]","[28948, 1039]","[12656, 17318]","[14525, 15450]","[23803, 6173]","[14445, 15530]","[11493, 18484]","[13982, 15996]","[16562, 13412]"
Ascendant,"[3238, 26738]","[2819, 27156]","[4102, 25875]","[9130, 20845]","[12035, 17943]","[12533, 17442]","[14088, 15888]","[10885, 19090]","[18525, 11452]","[16114, 13858]","[15891, 14085]","[0, 0]","[28092, 1887]","[13570, 16402]","[13051, 16924]","[14608, 15370]","[12236, 17738]","[11908, 18066]","[16994, 12983]","[27186, 2786]","[14689, 15284]","[15976, 13999]","[15450, 14526]","[13243, 16740]","[19102, 10875]","[15535, 14437]","[11743, 18228]","[14710, 15266]","[15738, 14237]"
RNGenius,"[0, 30000]","[0, 30000]","[0, 30000]","[0, 30000]","[792, 29190]","[368, 29626]","[217, 29780]","[368, 29627]","[824, 29163]","[299, 29691]","[11294, 18680]","[1887, 28092]","[0, 0]","[1299, 28685]","[988, 28993]","[1189, 28794]","[660, 29322]","[193, 29801]","[27792, 2184]","[8200, 21774]","[1818, 28161]","[27717, 2262]","[1764, 28214]","[222, 29769]","[18225, 11752]","[2376, 27599]","[1795, 28178]","[2139, 27840]","[1481, 28500]"
Fusion2,"[10456, 19518]","[11907, 18066]","[9629, 20344]","[14294, 15682]","[14113, 15866]","[19334, 10640]","[18243, 11735]","[14936, 15039]","[18323, 11657]","[15491, 14486]","[14643, 15332]","[16402, 13570]","[28685, 1299]","[0, 0]","[14144, 15829]","[18237, 11736]","[15252, 14725]","[14787, 15189]","[21573, 8399]","[26369, 3605]","[15459, 14518]","[22287, 7683]","[15455, 14520]","[15122, 14851]","[18120, 11854]","[16424, 13549]","[14264, 15713]","[17031, 12945]","[18725, 11249]"
Fusion1,"[3267, 26706]","[3663, 26309]","[3635, 26341]","[15440, 14531]","[14898, 15074]","[17995, 11978]","[17277, 12696]","[15509, 14468]","[18332, 11643]","[15738, 14236]","[17617, 12362]","[16924, 13051]","[28993, 988]","[15829, 14144]","[0, 0]","[18662, 11314]","[16077, 13897]","[15374, 14597]","[21134, 8842]","[26947, 3029]","[17016, 12958]","[20482, 9493]","[16827, 13148]","[14569, 15403]","[19693, 10278]","[17265, 12709]","[16059, 13917]","[17670, 12303]","[19714, 10259]"
Team123,"[27627, 2340]","[27575, 2400]","[28815, 1157]","[13307, 16667]","[10495, 19483]","[15760, 14214]","[15758, 14217]","[11757, 18221]","[12280, 17695]","[14363, 15614]","[11945, 18029]","[15370, 14608]","[28794, 1189]","[11736, 18237]","[11314, 18662]","[0, 0]","[13701, 16275]","[12335, 17640]","[22612, 7365]","[24141, 5837]","[12193, 17784]","[22172, 7805]","[11238, 18739]","[10962, 19016]","[14216, 15759]","[14982, 14994]","[11175, 18799]","[16902, 13070]","[14544, 15429]"
Wrth-LTXW2,"[17079, 12890]","[17401, 12571]","[15240, 14733]","[15762, 14212]","[13277, 16697]","[16913, 13065]","[18425, 11549]","[13360, 16615]","[14718, 15256]","[15406, 14571]","[14518, 15455]","[17738, 12236]","[29322, 660]","[14725, 15252]","[13897, 16077]","[16275, 13701]","[0, 0]","[15613, 14360]","[20424, 9548]","[25241, 4736]","[13965, 16015]","[20485, 9487]","[13394, 16579]","[13870, 16110]","[15876, 14098]","[16522, 13455]","[12775, 17201]","[18188, 11783]","[17182, 12791]"
Wrth-LTXW1,"[13487, 16483]","[14458, 15514]","[14212, 15759]","[17514, 12468]","[13698, 16274]","[17716, 12260]","[18545, 11428]","[13021, 16954]","[16795, 13176]","[16090, 13884]","[12803, 17173]","[18066, 11908]","[29801, 193]","[15189, 14787]","[14597, 15374]","[17640, 12335]","[14360, 15613]","[0, 0]","[21066, 8908]","[24547, 5426]","[14035, 15944]","[20290, 9686]","[14643, 15333]","[13889, 16087]","[13665, 16307]","[18636, 11338]","[14086, 15889]","[18308, 11670]","[18582, 11392]"
Minmax4,"[24323, 5648]","[24262, 5709]","[24945, 5028]","[15740, 14237]","[8368, 21607]","[7719, 22261]","[10274, 19704]","[9192, 20784]","[7563, 22415]","[7831, 22142]","[716, 29269]","[12983, 16994]","[2184, 27792]","[8399, 21573]","[8842, 21134]","[7365, 22612]","[9548, 20424]","[8908, 21066]","[0, 0]","[7881, 22094]","[6089, 23886]","[14450, 15527]","[4898, 25078]","[8176, 21801]","[5142, 24836]","[11780, 18198]","[4522, 25454]","[10831, 19145]","[10901, 19074]"
Gr33Dy,"[29979, 0]","[29975, 0]","[29981, 0]","[8565, 21411]","[2832, 27146]","[6842, 23134]","[9293, 20684]","[3607, 26369]","[4436, 25540]","[5816, 24159]","[2642, 27336]","[2786, 27186]","[21774, 8200]","[3605, 26369]","[3029, 26947]","[5837, 24141]","[4736, 25241]","[5426, 24547]","[22094, 7881]","[0, 0]","[3452, 26526]","[21757, 8218]","[2986, 26988]","[3566, 26410]","[9404, 20572]","[3728, 26246]","[3343, 26634]","[3050, 26927]","[6596, 23378]"
WrathMega,"[9435, 20537]","[12176, 17799]","[9175, 20803]","[14993, 14980]","[13176, 16798]","[16385, 13588]","[17075, 12900]","[15091, 14883]","[15575, 14401]","[16673, 13303]","[16848, 13131]","[15284, 14689]","[28161, 1818]","[14518, 15459]","[12958, 17016]","[17784, 12193]","[16015, 13965]","[15944, 14035]","[23886, 6089]","[26526, 3452]","[0, 0]","[23513, 6462]","[15201, 14772]","[13629, 16345]","[20871, 9100]","[16411, 13568]","[13291, 16682]","[16964, 13014]","[17859, 12116]"
Minmax3,"[24465, 5507]","[24743, 5232]","[24542, 5426]","[15242, 14731]","[9263, 20715]","[8816, 21157]","[10318, 19656]","[9159, 20816]","[9531, 20449]","[8711, 21263]","[1039, 28948]","[13999, 15976]","[2262, 27717]","[7683, 22287]","[9493, 20482]","[7805, 22172]","[9487, 20485]","[9686, 20290]","[15527, 14450]","[8218, 21757]","[6462, 23513]","[0, 0]","[5939, 24040]","[8213, 21761]","[4882, 25095]","[12647, 17333]","[5174, 24802]","[13027, 16951]","[10402, 19577]"
MegaWrath,"[12664, 17311]","[14586, 15388]","[12790, 17182]","[14972, 15002]","[12793, 17182]","[18495, 11480]","[18510, 11464]","[14347, 15631]","[17139, 12835]","[15636, 14338]","[17318, 12656]","[14526, 15450]","[28214, 1764]","[14520, 15455]","[13148, 16827]","[18739, 11238]","[16579, 13394]","[15333, 14643]","[25078, 4898]","[26988, 2986]","[14772, 15201]","[24040, 5939]","[0, 0]","[14704, 15274]","[21855, 8117]","[15548, 14424]","[12959, 17013]","[15003, 14974]","[17365, 12610]"
WXPr,"[5314, 24659]","[6259, 23718]","[7454, 22515]","[14934, 15039]","[13923, 16049]","[18687, 11288]","[18188, 11785]","[15923, 14054]","[17078, 12901]","[17578, 12396]","[15450, 14525]","[16740, 13243]","[29769, 222]","[14851, 15122]","[15403, 14569]","[19016, 10962]","[16110, 13870]","[16087, 13889]","[21801, 8176]","[26410, 3566]","[16345, 13629]","[21761, 8213]","[15274, 14704]","[0, 0]","[17343, 12636]","[18580, 11393]","[13743, 16233]","[19925, 10052]","[19437, 10543]"
CallTG26,"[29872, 102]","[29961, 13]","[29976, 0]","[16834, 13139]","[10929, 19044]","[17642, 12331]","[20102, 9872]","[12353, 17621]","[8659, 21312]","[13014, 16961]","[6173, 23803]","[10875, 19102]","[11752, 18225]","[11854, 18120]","[10278, 19693]","[15759, 14216]","[14098, 15876]","[16307, 13665]","[24836, 5142]","[20572, 9404]","[9100, 20871]","[25095, 4882]","[8117, 21855]","[12636, 17343]","[0, 0]","[10282, 19692]","[10537, 19440]","[10202, 19773]","[16414, 13559]"
LI0N,"[4487, 25487]","[4061, 25913]","[4173, 25801]","[8517, 21457]","[11317, 18657]","[12256, 17718]","[12838, 17136]","[11157, 18816]","[17901, 12070]","[16175, 13797]","[15530, 14445]","[14437, 15535]","[27599, 2376]","[13549, 16424]","[12709, 17265]","[14994, 14982]","[13455, 16522]","[11338, 18636]","[18198, 11780]","[26246, 3728]","[13568, 16411]","[17333, 12647]","[14424, 15548]","[11393, 18580]","[19692, 10282]","[0, 0]","[12699, 17275]","[14739, 15236]","[15241, 14733]"
Dominator,"[5831, 24141]","[5996, 23973]","[5057, 24917]","[18642, 11331]","[15179, 14799]","[18900, 11076]","[21176, 8796]","[16157, 13819]","[18121, 11853]","[17203, 12773]","[18484, 11493]","[18228, 11743]","[28178, 1795]","[15713, 14264]","[13917, 16059]","[18799, 11175]","[17201, 12775]","[15889, 14086]","[25454, 4522]","[26634, 3343]","[16682, 13291]","[24802, 5174]","[17013, 12959]","[16233, 13743]","[19440, 10537]","[17275, 12699]","[0, 0]","[18805, 11172]","[20118, 9857]"
ZOVN,"[5037, 24935]","[3569, 26405]","[3576, 26402]","[8420, 21554]","[11493, 18482]","[12963, 17013]","[14729, 15246]","[11780, 18193]","[18104, 11873]","[15134, 14840]","[15996, 13982]","[15266, 14710]","[27840, 2139]","[12945, 17031]","[12303, 17670]","[13070, 16902]","[11783, 18188]","[11670, 18308]","[19145, 10831]","[26927, 3050]","[13014, 16964]","[16951, 13027]","[14974, 15003]","[10052, 19925]","[19773, 10202]","[15236, 14739]","[11172, 18805]","[0, 0]","[13562, 16418]"
4Team3,"[12766, 17210]","[13525, 16447]","[13701, 16267]","[11934, 18040]","[12045, 17928]","[15244, 14729]","[15853, 14120]","[10985, 18991]","[12224, 17751]","[13290, 16686]","[13412, 16562]","[14237, 15738]","[28500, 1481]","[11249, 18725]","[10259, 19714]","[15429, 14544]","[12791, 17182]","[11392, 18582]","[19074, 10901]","[23378, 6596]","[12116, 17859]","[19577, 10402]","[12610, 17365]","[10543, 19437]","[13559, 16414]","[14733, 15241]","[9857, 20118]","[16418, 13562]","[0, 0]"
